Activity,Location,Impact Category,Baseline 2025,Baseline 2040,Baseline Change,Baseline % Change,VSI 2025,VSI 2040,VSI Change,VSI % Change,VSI to baseline change,VSI to baseline change %,SSP,Activity Group
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'freshwater ecotoxicity', 'FETPinf')",1.105941475232443,1.1071548484960476,0.0012133732636046002,0.10971405727862567,1.1059414399246146,1.1071549858348395,0.0012135459102249335,0.109729671609706,1.373387918945923e-07,1.561433108032695e-05,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'marine ecotoxicity', 'METPinf')",1.0099332121676292,1.0110533597729063,0.001120147605277122,0.11091303779117616,1.0099331926015227,1.011053491831558,0.0011202992300352044,0.11092805328532533,1.3205865156962204e-07,1.5015494149173136e-05,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'ozone depletion', 'ODPinf')",5.516850820651435e-08,4.442730953899076e-08,-1.0741198667523591e-08,-19.469800827884736,5.516681718432887e-08,4.4425551478287976e-08,-1.0741265706040897e-08,-19.470519153119,-1.7580607027861356e-12,-0.0007183252342635171,SSP1,Nickel
processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'terrestrial ecotoxicity', 'TETPinf')",0.011211510862971,0.0097750390146932,-0.0014364718482777986,-12.812473410895311,0.0112114108387556,0.0097750449840988,-0.0014363658546567987,-12.811642310810429,5.969405600034228e-09,0.0008311000848824079,SSP1,Nickel
processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'natural land transformation', 'NLTP')",0.0045873993880391,0.00475029966394,0.0001629002759008999,3.551037573175685,0.0045875643132614,0.0047504406290968,0.00016287631583539967,3.550387628671898,1.4096515680000338e-07,-0.0006499445037873031,SSP1,Nickel
processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'photochemical oxidant formation', 'POFP')",0.0298221884320829,0.0301312219953444,0.00030903356326150017,1.0362538080171202,0.0298225934561128,0.0301305322154788,0.0003079387593659978,1.032568679243686,-6.897798656008147e-07,-0.0036851287734342986,SSP1,Nickel
processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'human toxicity', 'HTPinf')",18.139897353250586,18.13960917894007,-0.00028817431051564313,-0.0015886215059756313,18.13998122148708,18.139757504244265,-0.0002237172428145584,-0.0012332826593533734,0.0001483253041953958,0.00035533884662225794,SSP1,Nickel
processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'marine eutrophication', 'MEP')",0.0124720786952644,0.012409298214713,-6.278048055139915e-05,-0.5033682202088466,0.0124723833876398,0.0124094144904718,-6.29688971680014e-05,-0.5048665937450569,1.1627575879913365e-07,-0.0014983735362102957,SSP1,Nickel
processing of nickel-rich materials,GLO,"('IPCC 2013', 'climate change', 'GWP 100a, incl. H and bio CO2')",5.449095502072423,4.695422681489269,-0.7536728205831542,-13.831154552099779,5.449086966985245,4.695086238513108,-0.7540007284721373,-13.837193882946867,-0.0003364429761614218,-0.006039330847087854,SSP1,Nickel
processing of nickel-rich materials,GLO,"('ReCiPe Midpoint (H)', 'particulate matter formation', 'PMFP')",0.0146102739872152,0.0135259053419626,-0.0010843686452526,-7.4219596853658105,0.0146100088037044,0.0135259636518838,-0.0010840451518206,-7.4198802094201195,5.830992120051115e-08,0.002079475945691023,SSP1,Nickel
